"Date","StateOfOccurrence","Location","Model","Registration","Operator","StateOfOperator","StateOfRegistry","FlightPhase","Class","Fatalities","Over2250","Over5700","ScheduledCommercial","InjuryLevel","TypeDesignator","Helicopter","Airplane","Engines","EngineType","Official","OccCats","Risk","Year"
"""2014-08-18T00:00:00.000Z""","CAN"," Princeton Airport, BC","Cessna 560 Citation V","C-FTJF","","","CAN","Landing","Accident",0,true,true,false,"","C560",false,true,2,"Jet","","[]","RS",2014
"""2014-08-18T00:00:00.000Z""","","Savannah","A319","N517NK","Spirit",,"USA","","Accident","",true,true,"","","A319",false,true,2,"Jet","","[]","",2014
"""2014-08-18T00:00:00.000Z""","ITA","Monte Sassongher, Corvara (BZ)","MBB BK117 C","I-AICO","Italy ","","ITA","Manoeuvring","Accident",0,true,false,"","None","BK17",true,false,2,"Turboprop","","[""LALT""]","OTH",2014
"""2014-08-18T00:00:00.000Z""","BHS","5 NM from RWY6 at Freeport Airport","CESSNA 340 A","N-340NM","United States ","","USA","Approach","Accident",4,true,false,"","Fatal","C340",false,true,2,"Piston","","[""UNK""]","UNK",2014
"""2014-08-20T00:00:00.000Z""","","New Smyrna Beach","DC4","N9015Q","Island Air Transport",,"USA","","Accident","",true,true,"","","DC4",false,true,4,"Piston","","[]","",2014
"""2014-08-20T00:00:00.000Z""","COD","","CESSNA 208 B","5Y-DAA","Congo, The Democratic Republic Of ","","KEN","Unknown","Accident",0,true,false,"","None","C208",false,true,1,"Turboprop","","[""RE""]","RS",2014
"""2014-08-20T00:00:00.000Z""","","Delhi","A320","VT-IFK","Indigo",,"IND","","Accident","",true,true,"","","A320",false,true,2,"Jet","","[]","",2014
"""2014-08-21T00:00:00.000Z""","COD"," Shamwana Airstrip","Cessna 208B Grand Caravan EX","5Y-DAA","DAC Aviation","","KEN","Landing","Accident",0,true,false,false,"","C208",false,true,1,"Turboprop","","[]","RS",2014
"""2014-08-22T00:00:00.000Z""","","Houston","E175","N421YX","Republic",,"USA","","Accident","",true,true,"","","E75L",false,true,2,"Jet","","[]","",2014
"""2014-08-23T00:00:00.000Z""","BRA","Goianira Municipality, Satate of Goiás","EUROCOPTER EC130 B4","PR-NEO","Brazil Other","","BRA","Landing","Accident",0,true,false,false,"None","EC30",true,false,1,"Turboprop","","[""GCOL""]","RS",2014
"""2014-08-23T00:00:00.000Z""","COD"," Mulume Munene","LET L410","9Q-CXB","Congo, The Democratic Republic Of Doren Aircargo",,"COD","En route","Accident",4,true,true,"","Fatal","L410",false,true,2,"Turboprop","","[""UNK""]","UNK",2014
"""2014-08-26T00:00:00.000Z""","","Chongqing","CRJ9","B-3363","China Express",,"CHN","","Accident","",true,true,"","","CRJ9",false,true,2,"Jet","","[]","",2014
"""2014-08-28T00:00:00.000Z""","GBR","Gatwick","AIRBUS A320 200","G-EZWM","United Kingdom Easyjet Airline Company Ltd","GBR","GBR","En route","Accident","",true,true,true,"None","A320",false,true,2,"Jet","","[""F-NI""]","F-NI",2014
"""2014-08-29T00:00:00.000Z""","HND"," Ibans, Mosquitia","Beechcraft 200 Super King Air","N70AJ","private","","USA","Landing","Accident",0,true,true,false,"","BE20",false,true,2,"Turboprop","","[]","RS",2014
"""2014-08-30T00:00:00.000Z""","DZA","Tamanrasset","ANTONOV AN12","UR-DWF","Ukraine ",,"UKR","Take-off","Accident",7,true,true,"","Fatal","AN12",false,true,4,"Turboprop","","[""CFIT""]","CFIT",2014
"""2014-08-31T00:00:00.000Z""","TZA","EnRoute","FOKKER F27","5Y-SXP","Kenya Safari Express Cargo",,"KEN","En route","Accident",3,true,true,"","Fatal","F27",false,true,2,"Turboprop","","[""CFIT"",""F-POST""]","CFIT",2014
"""2014-09-01T00:00:00.000Z""","","Naples","A319","G-EZIM","Easyjet",,"GBR","","Accident","",true,true,"","","A319",false,true,2,"Jet","","[]","",2014
"""2014-09-02T00:00:00.000Z""","MEX","La Mojonera, Huitzizilipa, Estado de Mexico","AGUSTA","XC-ALM","Mexico ",,"MEX","En route","Accident",2,true,false,false,"Fatal","A109",true,false,2,"Turboprop","","[""CFIT""]","CFIT",2014
"""2014-09-05T00:00:00.000Z""","JAM","40 mi NE of Kingston","SOCATA TBM700","N-900KN"," ","","USA","En route","Accident",2,true,false,"","Fatal","TBM7",false,true,1,"Turboprop","","[""UNK""]","UNK",2014
"""2014-09-06T00:00:00.000Z""","SOM","Mogadishu","FOKKER","5Y-BYE","Somalia Jubba Airways","SOM","KEN","Landing","Accident","",true,true,true,"None","DR1",false,true,1,"Piston","","[""RE""]","RS",2014
"""2014-09-08T00:00:00.000Z""","","Dallas","E145","N646AE","Envoy",,"USA","","Accident","",true,true,"","","E145",false,true,2,"Jet","","[]","",2014
"""2014-09-09T00:00:00.000Z""","IDN"," Mulia Airport (LII)","Cessna 208B Grand Caravan","PK-RSC","Enggang Air Service","","IDN","Landing","Accident",0,true,false,false,"","C208",false,true,1,"Turboprop","","[]","RS",2014
"""2014-09-09T00:00:00.000Z""","NCL"," Noum�a-La Tontouta International Airport (NOU)","Beechcraft 200C Super King Air","F-GRSO","Air Loyaut�","","FRA","Landing","Accident",0,true,true,false,"","BE20",false,true,2,"Turboprop","","[]","RS",2014
"""2014-09-12T00:00:00.000Z""","KOR","16000 ft.","BOEING 767 300","JA654J","Japan Japan Air Lines","JPN","JPN","Approach","Accident","",true,true,true,"Serious","C17",false,true,4,"Jet","","[""TURB""]","TURB",2014
"""2014-09-12T00:00:00.000Z""","USA"," Chicago-O'Hare International Airport, IL (ORD)","Embraer EMB-145XR","N16147","ExpressJet Airlines, opf. United Express","USA","USA","Taxi","Accident",0,true,true,true,"","AMX",false,true,1,"Jet","","[]","RS",2014
"""2014-09-13T00:00:00.000Z""","ESP","Alpera","AGUSTA A119","EC-KSD","Spain Fumigacion Aerea Andaluza, S.A. (Faasa)","","ESP","En route","Accident",1,true,false,"","Fatal","A119",true,false,1,"Turboprop","","[""UNK""]","UNK",2014
"""2014-09-13T00:00:00.000Z""","","Bermuda","A319","C-GITP","Air Canada",,"CAN","","Accident","",true,true,"","","A319",false,true,2,"Jet","","[]","",2014
"""2014-09-14T00:00:00.000Z""","ARG"," Nordelta, BA","Beechcraft 300LW Super King Air","LV-WLT","Tango Jet","","ARG","En route","Accident",2,true,true,false,"Fatal","BE30",false,true,2,"Turboprop","","[]","LOC-I",2014
